V1,V2,V3E4,ESTACK,H2OAINE2,H2OCINE2,H2OAOUTE2,H2OCOUT ,WFH2 ,MFH2,EACTE1,EOHME3,EFFLHVE1,EFFHHVE1,SPECPOW2,TCELL,VH2,PURITYE2,SYSPOW
48000,444.444444,5,423.244894,16.8237197,26.0252245,16.8237197,205.826652,414.115632,205.426728,5.1508251,131.685192,6.80984243,8.04886186,176153.176,75.3883688,4795.28712,72.9615976,20315.7534
1200,55.5555556,2.5,339.929775,7.9064884,3.6875123,7.9064884,5.05230393,10.072427,4.99654096,2.82695603,1.891193,8.47890074,10.0215976,141477.7,72.7908762,116.215024,74.7882139,407.91573
1200,55.5555556,3.75,340.057522,5.9562887,3.6724897,5.9562887,5.08341644,10.1351406,5.02765077,2.82677415,2.405607,8.47571552,10.0178329,141530.868,72.7863956,116.937736,74.7920981,408.069027
1200,55.5555556,5,340.18039,4.9694626,3.6647406,4.9694626,5.09915502,10.1668655,5.04338826,2.826676,2.919957,8.47265422,10.0142146,141582.005,72.7845224,117.303406,74.793726,408.216468
1200,55.5555556,6.25,340.29933,4.3734618,3.6600093,4.3734618,5.10865677,10.1860217,5.0528909,2.82655905,3.434159,8.46969289,10.0107145,141631.507,72.7871737,117.524968,74.7913387,408.359196
1200,55.5555556,7.5,340.421135,3.9747022,3.6569371,3.9747022,5.11501662,10.1988372,5.05924817,2.82656486,3.948588,8.46666239,10.0071326,141682.202,72.783418,117.672103,74.7945527,408.505362
1200,62.1345029,2.5,339.733767,8.1495847,4.134119,8.1495847,5.05263834,10.0595338,4.99014516,2.81859654,1.880852,8.4837926,10.0273796,141396.122,72.7923,116.068948,74.7762081,407.68052
1200,62.1345029,3.75,339.861651,6.1975269,4.1175018,6.1975269,5.08366872,10.122082,5.02117287,2.81842621,2.395143,8.4806003,10.0236064,141449.347,72.7883181,116.789864,74.7796686,407.833981
1200,62.1345029,5,339.984597,5.2097698,4.1088621,5.2097698,5.09936565,10.1537229,5.03686872,2.8183345,2.909378,8.47753352,10.0199817,141500.516,72.7866576,117.154616,74.7811144,407.981516
1200,62.1345029,6.25,340.105536,4.6132962,4.1036155,4.6132962,5.10884264,10.1728265,5.04634527,2.8182748,3.423585,8.47451899,10.0164186,141550.851,72.7859368,117.374892,74.7817473,408.126643
1200,62.1345029,7.5,340.225461,4.2140306,4.1000842,4.2140306,5.11518548,10.1856127,5.05268799,2.81823127,3.937775,8.47153182,10.012888,141600.763,72.7856867,117.522369,74.7819725,408.270553
1200,68.7134503,2.5,339.572847,8.3912876,4.5811289,8.3912876,5.05298087,10.0466594,4.98375866,2.81174398,1.872548,8.48781298,10.0321314,141329.147,72.7936399,115.922577,74.76646,407.487416
1200,68.7134503,3.75,339.70086,6.4378817,4.5628504,6.4378817,5.08393182,10.1090475,5.01470696,2.81158404,2.386737,8.48461444,10.0283509,141382.426,72.7900647,116.641739,74.7695749,407.641032
1200,68.7134503,5,339.82388,5.4494648,4.5533239,5.4494648,5.09958737,10.140605,5.03036143,2.81149812,2.900877,8.4815429,10.0247205,141433.627,72.7885763,117.005568,74.7708754,407.788656
1200,68.7134503,6.25,339.944871,4.8526077,4.547541,4.8526077,5.10903914,10.1596578,5.03981276,2.81144235,3.414992,8.47852421,10.0211526,141483.983,72.787931,117.225277,74.7714442,407.933845
1200,68.7134503,7.5,340.064836,4.4530917,4.5436504,4.4530917,5.11536501,10.1724097,5.04613851,2.81140179,3.929091,8.47553322,10.0176174,141533.912,72.7877109,117.372368,74.7716436,408.077804
1200,75.2923977,2.5,339.438269,8.6320982,5.0285365,8.6320982,5.05333238,10.0338031,4.97738117,2.80602341,1.865738,8.49117817,10.0361089,141273.136,72.7948791,115.776055,74.7582987,407.325923
1200,75.2923977,3.75,339.566405,6.677727,5.0086088,6.677727,5.0842049,10.0960331,5.00825105,2.80587289,2.379843,8.48797401,10.0323217,141326.466,72.7916362,116.493469,74.7611335,407.479686
